chr	start	end
1	1	100001
1	100001	200001
1	200001	300001
1	300001	400001
1	400001	500001
1	500001	600001
1	600001	700001
1	700001	800001
1	800001	900001
1	900001	1000001
1	1000001	1100001
1	1100001	1200001
1	1200001	1300001
1	1300001	1400001
1	1400001	1500001
1	1500001	1600001
1	1600001	1700001
1	1700001	1800001
1	1800001	1900001
1	1900001	2000001
1	2000001	2100001
1	2100001	2200001
1	2200001	2300001
1	2300001	2400001
1	2400001	2500001
1	2500001	2600001
1	2600001	2700001
1	2700001	2800001
1	2800001	2900001
1	2900001	3000001
1	3000001	3100001
1	3100001	3200001
1	3200001	3300001
1	3300001	3400001
1	3400001	3500001
1	3500001	3600001
1	3600001	3700001
1	3700001	3800001
1	3800001	3900001
1	3900001	4000001
1	4000001	4100001
1	4100001	4200001
1	4200001	4300001
1	4300001	4400001
1	4400001	4500001
1	4500001	4600001
1	4600001	4700001
1	4700001	4800001
1	4800001	4900001
1	4900001	5000001
1	5000001	5100001
1	5100001	5200001
1	5200001	5300001
1	5300001	5400001
1	5400001	5500001
1	5500001	5600001
1	5600001	5700001
1	5700001	5800001
1	5800001	5900001
1	5900001	6000001
1	6000001	6100001
1	6100001	6200001
1	6200001	6300001
1	6300001	6400001
1	6400001	6500001
1	6500001	6600001
1	6600001	6700001
1	6700001	6800001
1	6800001	6900001
1	6900001	7000001
1	7000001	7100001
1	7100001	7200001
1	7200001	7300001
1	7300001	7400001
1	7400001	7500001
1	7500001	7600001
1	7600001	7700001
1	7700001	7800001
1	7800001	7900001
1	7900001	8000001
1	8000001	8100001
1	8100001	8200001
1	8200001	8300001
1	8300001	8400001
1	8400001	8500001
1	8500001	8600001
1	8600001	8700001
1	8700001	8800001
1	8800001	8900001
1	8900001	9000001
1	9000001	9100001
1	9100001	9200001
1	9200001	9300001
1	9300001	9400001
1	9400001	9500001
1	9500001	9600001
1	9600001	9700001
1	9700001	9800001
1	9800001	9900001
1	9900001	10000001
1	10000001	10100001
1	10100001	10200001
1	10200001	10300001
1	10300001	10400001
1	10400001	10500001
1	10500001	10600001
1	10600001	10700001
1	10700001	10800001
1	10800001	10900001
1	10900001	11000001
1	11000001	11100001
1	11100001	11200001
1	11200001	11300001
1	11300001	11400001
1	11400001	11500001
1	11500001	11600001
1	11600001	11700001
1	11700001	11800001
1	11800001	11900001
1	11900001	12000001
1	12000001	12100001
1	12100001	12200001
1	12200001	12300001
1	12300001	12400001
1	12400001	12500001
1	12500001	12600001
1	12600001	12700001
1	12700001	12800001
1	12800001	12900001
1	12900001	13000001
1	13000001	13100001
1	13100001	13200001
1	13200001	13300001
1	13300001	13400001
1	13400001	13500001
1	13500001	13600001
1	13600001	13700001
1	13700001	13800001
1	13800001	13900001
1	13900001	14000001
1	14000001	14100001
1	14100001	14200001
1	14200001	14300001
1	14300001	14400001
